,ID,DateTime,Type,Category,Description,IsCredit,IsDebit,Gross,Net,Balance,Unallocated,VAT
38,rps_lng-HDO23054823,2023-02-03T00:00:00+00:00,Payment,Tenant Payment,Tenancy Receipt Ref: DEFT Bpay 44815918,True,False,2151.0,2151.0,-25.0,,
39,rps_lng-HDO23084258,2023-03-01T00:00:00+00:00,Invoice,Rent,Rent from 01/03/2023 to 31/03/2023 for 35A Cameron Street,False,True,2151.0,2151.0,-2176.0,,
40,rps_lng-HDO23095725,2023-03-01T00:00:00+00:00,Payment,Tenant Payment,Tenancy Receipt Ref: 35ACAMERONSTREET,True,False,2151.0,2151.0,-25.0,,
41,rps_lng-HDO23131242,2023-04-01T00:00:00+01:00,Invoice,Rent,Rent from 01/04/2023 to 30/04/2023 for 35A Cameron Street,False,True,2151.0,2151.0,-2176.0,,
42,rps_lng-HDO23145827,2023-04-03T00:00:00+01:00,Payment,Tenant Payment,Tenancy Receipt Ref: 35ACAMERONSTREET,True,False,2151.0,2151.0,-25.0,,
43,rps_lng-HDO23176723,2023-05-01T00:00:00+01:00,Invoice,Rent,Rent from 01/05/2023 to 31/05/2023 for 35A Cameron Street,False,True,2151.0,2151.0,-2176.0,,
44,rps_lng-HDO23190197,2023-05-01T00:00:00+01:00,Payment,Tenant Payment,Tenancy Receipt Ref: 35ACAMERONSTREET,True,False,2151.0,2151.0,-25.0,,
45,rps_lng-HDO23237939,2023-06-01T00:00:00+01:00,Payment,Tenant Payment,Tenancy Receipt Ref: 35ACAMERONSTREET,True,False,2151.0,2151.0,2126.0,,
46,rps_lng-HDO23227998,2023-06-01T00:00:00+01:00,Invoice,Rent,Rent from 01/06/2023 to 30/06/2023 for 35A Cameron Street,False,True,2151.0,2151.0,-25.0,,
47,rps_lng-HDO23241438,2023-06-05T00:00:00+01:00,Invoice,Tenant Admin Fee,Dishonour Fee,False,True,25.0,25.0,-50.0,25.0,
